time,frequency_hz,confidence,voiced,model,low_hz,high_hz,backend_min_hz
0.0,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.01,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.02,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.03,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.04,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.05,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.06,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.07,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.08,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.09,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.1,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.11,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.12,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.13,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.14,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.15,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.16,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.17,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.18,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.19,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.2,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.21,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.22,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.23,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.24,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.25,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.26,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.27,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.28,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.29,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.3,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.31,0.0,0.0,False,fcpe,50.0,2000.0,80.0
0.32,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.33,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.34,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.35,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.36,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.37,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.38,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.39,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.4,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.41,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.42,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.43,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.44,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.45,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.46,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.47,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.48,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.49,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.5,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.51,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.52,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.53,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.54,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.55,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.56,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.57,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.58,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.59,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.6,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.61,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.62,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.63,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.64,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.65,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.66,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.67,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.68,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.69,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.7,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.71,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.72,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.73,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.74,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.75,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.76,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.77,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.78,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.79,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.8,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.81,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.82,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.83,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.84,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.85,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.86,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.87,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.88,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.89,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.9,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.91,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.92,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.93,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.94,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.95,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.96,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.97,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.98,0.0,1.0,True,fcpe,50.0,2000.0,80.0
0.99,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.0,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.01,170.63748168945312,1.0,True,fcpe,50.0,2000.0,80.0
1.02,177.32846069335938,1.0,True,fcpe,50.0,2000.0,80.0
1.03,177.6429443359375,1.0,True,fcpe,50.0,2000.0,80.0
1.04,177.64581298828125,1.0,True,fcpe,50.0,2000.0,80.0
1.05,177.538818359375,1.0,True,fcpe,50.0,2000.0,80.0
1.06,177.49534606933594,1.0,True,fcpe,50.0,2000.0,80.0
1.07,177.49826049804688,1.0,True,fcpe,50.0,2000.0,80.0
1.08,177.47604370117188,1.0,True,fcpe,50.0,2000.0,80.0
1.09,177.53172302246094,1.0,True,fcpe,50.0,2000.0,80.0
1.1,177.76052856445312,1.0,True,fcpe,50.0,2000.0,80.0
1.11,178.23623657226562,1.0,True,fcpe,50.0,2000.0,80.0
1.12,179.39878845214844,1.0,True,fcpe,50.0,2000.0,80.0
1.13,180.08517456054688,1.0,True,fcpe,50.0,2000.0,80.0
1.14,180.1014404296875,1.0,True,fcpe,50.0,2000.0,80.0
1.15,194.146484375,1.0,True,fcpe,50.0,2000.0,80.0
1.16,292.4173278808594,1.0,True,fcpe,50.0,2000.0,80.0
1.17,292.16259765625,1.0,True,fcpe,50.0,2000.0,80.0
1.18,292.2596435546875,1.0,True,fcpe,50.0,2000.0,80.0
1.19,292.2202453613281,1.0,True,fcpe,50.0,2000.0,80.0
1.2,292.3555908203125,1.0,True,fcpe,50.0,2000.0,80.0
1.21,292.3759765625,1.0,True,fcpe,50.0,2000.0,80.0
1.22,292.3457336425781,1.0,True,fcpe,50.0,2000.0,80.0
1.23,292.2356872558594,1.0,True,fcpe,50.0,2000.0,80.0
1.24,292.54193115234375,1.0,True,fcpe,50.0,2000.0,80.0
1.25,292.3422546386719,1.0,True,fcpe,50.0,2000.0,80.0
1.26,292.451171875,1.0,True,fcpe,50.0,2000.0,80.0
1.27,222.25808715820312,1.0,True,fcpe,50.0,2000.0,80.0
1.28,222.12191772460938,1.0,True,fcpe,50.0,2000.0,80.0
1.29,221.7067108154297,1.0,True,fcpe,50.0,2000.0,80.0
1.3,221.01480102539062,1.0,True,fcpe,50.0,2000.0,80.0
1.31,220.54246520996094,1.0,True,fcpe,50.0,2000.0,80.0
1.32,220.38339233398438,1.0,True,fcpe,50.0,2000.0,80.0
1.33,220.3617706298828,1.0,True,fcpe,50.0,2000.0,80.0
1.34,220.2667999267578,1.0,True,fcpe,50.0,2000.0,80.0
1.35,220.25880432128906,1.0,True,fcpe,50.0,2000.0,80.0
1.36,220.34828186035156,1.0,True,fcpe,50.0,2000.0,80.0
1.37,220.96412658691406,1.0,True,fcpe,50.0,2000.0,80.0
1.38,222.17031860351562,1.0,True,fcpe,50.0,2000.0,80.0
1.39,223.0421142578125,1.0,True,fcpe,50.0,2000.0,80.0
1.4,223.42408752441406,1.0,True,fcpe,50.0,2000.0,80.0
1.41,223.21484375,1.0,True,fcpe,50.0,2000.0,80.0
1.42,222.79705810546875,1.0,True,fcpe,50.0,2000.0,80.0
1.43,221.8650665283203,1.0,True,fcpe,50.0,2000.0,80.0
1.44,220.34683227539062,1.0,True,fcpe,50.0,2000.0,80.0
1.45,218.79705810546875,1.0,True,fcpe,50.0,2000.0,80.0
1.46,218.03091430664062,1.0,True,fcpe,50.0,2000.0,80.0
1.47,217.61715698242188,1.0,True,fcpe,50.0,2000.0,80.0
1.48,217.26519775390625,1.0,True,fcpe,50.0,2000.0,80.0
1.49,217.41384887695312,1.0,True,fcpe,50.0,2000.0,80.0
1.5,218.80516052246094,1.0,True,fcpe,50.0,2000.0,80.0
1.51,220.5098876953125,1.0,True,fcpe,50.0,2000.0,80.0
1.52,221.5838623046875,1.0,True,fcpe,50.0,2000.0,80.0
1.53,222.39984130859375,1.0,True,fcpe,50.0,2000.0,80.0
1.54,291.8048400878906,1.0,True,fcpe,50.0,2000.0,80.0
1.55,292.0657653808594,1.0,True,fcpe,50.0,2000.0,80.0
1.56,292.8851013183594,1.0,True,fcpe,50.0,2000.0,80.0
1.57,292.9076843261719,1.0,True,fcpe,50.0,2000.0,80.0
1.58,292.079833984375,1.0,True,fcpe,50.0,2000.0,80.0
1.59,291.2595520019531,1.0,True,fcpe,50.0,2000.0,80.0
1.6,290.2431335449219,1.0,True,fcpe,50.0,2000.0,80.0
1.61,290.0870056152344,1.0,True,fcpe,50.0,2000.0,80.0
1.62,290.2695007324219,1.0,True,fcpe,50.0,2000.0,80.0
1.63,290.39166259765625,1.0,True,fcpe,50.0,2000.0,80.0
1.64,289.801513671875,1.0,True,fcpe,50.0,2000.0,80.0
1.65,289.5599365234375,1.0,True,fcpe,50.0,2000.0,80.0
1.66,289.2974548339844,1.0,True,fcpe,50.0,2000.0,80.0
1.67,289.1376037597656,1.0,True,fcpe,50.0,2000.0,80.0
1.68,288.8879089355469,1.0,True,fcpe,50.0,2000.0,80.0
1.69,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.7,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.71,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.72,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.73,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.74,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.75,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.76,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.77,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.78,0.0,1.0,True,fcpe,50.0,2000.0,80.0
1.79,288.02252197265625,1.0,True,fcpe,50.0,2000.0,80.0
1.8,287.1435852050781,1.0,True,fcpe,50.0,2000.0,80.0
1.81,219.39810180664062,1.0,True,fcpe,50.0,2000.0,80.0
1.82,219.35888671875,1.0,True,fcpe,50.0,2000.0,80.0
1.83,219.47781372070312,1.0,True,fcpe,50.0,2000.0,80.0
1.84,219.20834350585938,1.0,True,fcpe,50.0,2000.0,80.0
1.85,218.7732696533203,1.0,True,fcpe,50.0,2000.0,80.0
1.86,218.7643585205078,1.0,True,fcpe,50.0,2000.0,80.0
1.87,219.0631866455078,1.0,True,fcpe,50.0,2000.0,80.0
1.88,219.04197692871094,1.0,True,fcpe,50.0,2000.0,80.0
1.89,218.605712890625,1.0,True,fcpe,50.0,2000.0,80.0
1.9,218.4232177734375,1.0,True,fcpe,50.0,2000.0,80.0
1.91,218.7854766845703,1.0,True,fcpe,50.0,2000.0,80.0
1.92,219.04220581054688,1.0,True,fcpe,50.0,2000.0,80.0
1.93,219.70309448242188,1.0,True,fcpe,50.0,2000.0,80.0
1.94,221.1576690673828,1.0,True,fcpe,50.0,2000.0,80.0
1.95,222.92117309570312,1.0,True,fcpe,50.0,2000.0,80.0
1.96,235.92556762695312,1.0,True,fcpe,50.0,2000.0,80.0
1.97,237.03582763671875,1.0,True,fcpe,50.0,2000.0,80.0
1.98,236.6693115234375,1.0,True,fcpe,50.0,2000.0,80.0
1.99,235.81484985351562,1.0,True,fcpe,50.0,2000.0,80.0
2.0,235.89515686035156,1.0,True,fcpe,50.0,2000.0,80.0
2.01,236.07406616210938,1.0,True,fcpe,50.0,2000.0,80.0
2.02,236.39747619628906,1.0,True,fcpe,50.0,2000.0,80.0
2.03,237.0797882080078,1.0,True,fcpe,50.0,2000.0,80.0
2.04,237.3948516845703,1.0,True,fcpe,50.0,2000.0,80.0
2.05,235.96408081054688,1.0,True,fcpe,50.0,2000.0,80.0
2.06,232.6966552734375,1.0,True,fcpe,50.0,2000.0,80.0
2.07,223.84178161621094,1.0,True,fcpe,50.0,2000.0,80.0
2.08,221.86520385742188,1.0,True,fcpe,50.0,2000.0,80.0
2.09,220.77818298339844,1.0,True,fcpe,50.0,2000.0,80.0
2.1,220.16920471191406,1.0,True,fcpe,50.0,2000.0,80.0
